"Season","Episode","Start time in milliseconds","End time in milliseconds","Character","Quote"
"1","3","93301","95471","Jang Gang","Believe what you wish to believe."
"1","3","112028","119412","Park Jin","See? He is your son. A son you are willing to protect even at the risk of your own life."
"1","3","119994","121754","Jang Gang","I am merely trying to keep him safe."
"1","3","151025","155953","Jang Gang","Not only does his birth make no sense, but it never should have happened either. "
"1","3","207707","308428","Jang Uk","She did not poison me. I poisoned myself. Please help. Mu-deok risked her life to do what I asked."
"1","3","630129","636643","Seo Yul","She risked her life for him even though they only just met. It is strange."
"1","3","655946","665253","Seo Yul","She easily deceives people. She did not speak even though she was tortured. "
"1","3","665790","667460","Park Dang-Gu","There is more to her than meets the eye."
"1","3","792041","796343","Mu-deok / Naksu","The people of Songrim are too nice. If this is how they torture people… "
"1","3","832164","835964","Jang Uk","I am the only person who is safe enough to come this close to you."
"1","3","867074","879415","Jang Uk","All my life, no one ever seemed to know how desperate I was. No one has ever risked their lives for me like you did. "
"1","3","909450","912750","Jang Uk","People think I got kicked out every time, but I was the one who left."
"1","3","955037","981055","Mu-deok / Naksu","The moment I get my energy back and become Naksu again, we will no longer be master and pupil. Because then, you should no longer have a reason to protect me, nor should I have a reason to go easy on you. "
"1","3","1020769","1025693","Jang Uk","I, Jang Uk, your pupil, will serve and protect my master, Mu-deok, with all my heart. "
"1","3","1341048","1345010","Mu-deok / Naksu","If you master your spells, you will neither feel cold on ice nor hot walking on fire. "
"1","3","1363111","1366661","Mu-deok / Naksu","In order to become the best mage, you must go through several steps."
"1","3","1368742","1371332","Mu-deok / Naksu","First is Jipsu, the ability to gather the energy of water. Second is Ryusu, the ability to gain energy from the flow of water. Then comes Chisu, the ability to control the energy in the atmosphere. "
"1","3","1620243","1625830","Jang Uk","I did not feel motivated to do so. As you already know, I need to feel motivated in order to do something."
"1","3","1646728","1651318","Jang Uk","I am a quick learner. I will quickly master Jipsu. How long does it take?"
"1","3","1665205","1668075","Mu-deok / Naksu","He was a genius who only took a year to master Jipsu."
"1","3","1675465","1679587","Jang Uk","If he took a year, I will do it in six months. No, I will do it in three months. "
"1","3","1681096","1684016","Jang Uk","I am determined, so do not discourage me."
"1","3","1946903","1949283","Park Jin","Please do not resent me for that."
"1","3","2176799","2180929","Mu-deok / Naksu","It is normal to pick on the weak. That is how the world works."
"1","3","2707663","2728178","Maidservant Kim Do-Joo","This wine was made with spring water from a volcanic island in Southern Daeho. It is dark wine, the best wine you can find in Daeho. This is a rare delicacy."
"1","3","2833121","2843720","Jin Ho-Gyeong","You will have to take your sister's place and become the leader that guards Jinyowon for the family. Find a man who will support your cause."
"1","3","2943899","2948652","Park Dang-Gu","If he is not busy, he normally sleeps early and wakes up early too. "
"1","3","3283405","3287525","Mu-deok / Naksu","I lived a harsh life, so I learned a few moves just to keep myself safe. "
"1","3","3434848","3449447","Heo Yeom","Your mother, Do-hwa, was extremely kind-hearted. Always remember that and ignore what everyone else says."
"1","3","3712250","3717085","Jang Uk","So be careful who you fall for. Only I get to come this close."
"1","3","3719757","3722337","Mu-deok / Naksu","Fine. I will only allow it to you."
"1","3","3727849","3731055","Jang Uk","What? Why does that require effort? "
"1","3","3742947","3752709","Jang Uk","Why not? It makes no sense. Come on. Humor me. "
"1","3","4071942","4074402","Jang Gang","His existence will bring chaos. He should not attract attention or challenge anyone. We must make people think that he is nothing special. "
