"Season","Episode","Start time in milliseconds","End time in milliseconds","Character","Quote"
"1","6","108858","119286","Seo Yul","I could not ask her why. The moment she sliced my sincerity in half, I could no longer cherish our memories together. "
"1","6","423923","429603","Jang Uk","That is the type of girl she is. She does not easily like or feel shy in front of others."
"1","6","652151","660695","Mu-deok / Naksu","I did not know my pupil was this possessive. Fine. My one and only pupil will be you who spews nonsense first thing in the morning. Happy? "
"1","6","788829","793326","Mu-deok / Naksu","No, thank you. I do not want to climb such a special tree with just anyone. "
"1","6","1310017","1315441","Jang Uk","Have I ever listened to anyone? Tell him I am doing the very opposite and being reckless. "
"1","6","1396561","1398811","Mu-deok / Naksu","I would not hesitate to stab you with a sword if that could get you back on your feet."
"1","6","2183014","2185064","Master Lee","Is he trying to run before learning to walk?"
"1","6","2837876","2845257","Jang Uk","Yes, I do. I truly want to. I will get married at all costs. Wait up. "
"1","6","4134463","4149015","Jang Uk","Yes. That is what I believed all my life. I do not want to deny it now. So… I will not sit still. Do not stop me no matter what I do."
